Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Khalilzadeh, Mohammad A.",57214579240,190,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Materials Science
Engineering
Physics and Astronomy
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
Environmental Science
Health Professions
Immunology and Microbiology
Social Sciences
Multidisciplinary
Earth and Planetary Sciences
Neuroscience
Mathematics
",0000-0003-4026-1603,
"Nasehi, Mohammad",8595703800,167,"Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Psychology
Immunology and Microbiology
Agricultural and Biological Sciences
Health Professions
Veterinary
Business, Management and Accounting
Multidisciplinary
Social Sciences
",,
"Parvïn, Hamïd",25927421600,159,"Computer Science
Mathematics
Engineering
Materials Science
Medicine
Physics and Astronomy
Arts and Humanities
Social Sciences
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Decision Sciences
Chemical Engineering
Neuroscience
Energy
Business, Management and Accounting
Agricultural and Biological Sciences
",,
"Hassanabadi, Alireza",17434151700,153,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Engineering
",,
"Doosti, Abbas",26767666300,149,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Agricultural and Biological Sciences
Veterinary
Engineering
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Physics and Astronomy
Chemical Engineering
Multidisciplinary
Materials Science
",0000-0001-8052-5963,
"Hossaini, Zinatossadat",6505984153,148,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Computer Science
Chemical Engineering
Materials Science
Physics and Astronomy
Medicine
Agricultural and Biological Sciences
Health Professions
",0000-0001-7193-1759,
"Yousefi, Mohammad",7004062369,148,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
Environmental Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Nursing
Energy
Computer Science
",,
"Haghighat, Abolfazl Toroghi",9332411900,145,"Computer Science
Engineering
Mathematics
Social Sciences
Materials Science
Physics and Astronomy
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Energy
Chemical Engineering
Chemistry
Neuroscience
",,
"Yousefi, Ramin",26026133400,143,"Materials Science
Physics and Astronomy
Engineering
Chemistry
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Energy
Medicine
Multidisciplinary
Earth and Planetary Sciences
Agricultural and Biological Sciences
",0000-0002-1206-8673,
"Ariafard, Alireza",6602791101,142,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Environmental Science
Computer Science
Medicine
",0000-0003-2383-6380,
