Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Akbarzadeh-T., Mohammad Reza",6603491496,281,"Computer Science
Engineering
Mathematics
Decision Sciences
Chemical Engineering
Medicine
Physics and Astronomy
Agricultural and Biological Sciences
Energy
Neuroscience
Biochemistry, Genetics and Molecular Biology
Materials Science
Social Sciences
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Health Professions
Economics, Econometrics and Finance
Environmental Science
Business, Management and Accounting
",0000-0001-5626-5559,
"Bakavoli, M.",7003554891,268,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Engineering
Physics and Astronomy
Materials Science
Energy
Computer Science
Medicine
Earth and Planetary Sciences
Agricultural and Biological Sciences
Immunology and Microbiology
Environmental Science
Mathematics
",,
"Razavi, S. M. A.",14058852900,228,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Chemistry
Engineering
Materials Science
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Nursing
",0000-0003-2450-6623,
"Moslehian, M. S.",56357899900,226,"Mathematics
Computer Science
Physics and Astronomy
Decision Sciences
Engineering
Arts and Humanities
Materials Science
",0000-0001-7905-528X,
"Esfahani, J. A.",8709203600,219,"Engineering
Physics and Astronomy
Energy
Chemical Engineering
Materials Science
Chemistry
Mathematics
Environmental Science
Computer Science
Agricultural and Biological Sciences
Medicine
Multidisciplinary
Earth and Planetary Sciences
Decision Sciences
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
",0000-0001-6395-8089,
"Rounaghi, Gholam Hossein",35605875700,203,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Environmental Science
Energy
Medicine
Immunology and Microbiology
Multidisciplinary
Social Sciences
",,
"Housaindokht, Mohammad Reza",55879359300,202,"Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Chemical Engineering
Energy
Engineering
Agricultural and Biological Sciences
Medicine
Mathematics
Computer Science
Environmental Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Multidisciplinary
Health Professions
",0000-0002-5428-2512,
"Rezaiee-Pajand, Mohammad",19337436700,187,"Engineering
Mathematics
Materials Science
Computer Science
Physics and Astronomy
Earth and Planetary Sciences
Environmental Science
Social Sciences
Chemistry
",0000-0002-8808-0011,
"Pourayoubi, Mehrdad",7801553386,186,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Engineering
",0000-0001-5608-2111,
"Yaghmaee Moghaddam, Mohammad Hossein",35587877700,181,"Computer Science
Engineering
Mathematics
Social Sciences
Energy
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Neuroscience
Decision Sciences
Business, Management and Accounting
",0000-0002-0111-1357,
"Mirzaei, Masoud",13103515900,180,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Pharmacology, Toxicology and Pharmaceutics
Medicine
Multidisciplinary
Computer Science
",0000-0002-7256-4601,
"Izadyar, Mohammad",6506561836,174,"Chemistry
Physics and Astronomy
Materials Science
Energy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Mathematics
Environmental Science
Computer Science
Agricultural and Biological Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Multidisciplinary
",0000-0002-3795-9982,
"Rahimizadeh, Mohammad",6603742004,173,"Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Materials Science
Computer Science
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Environmental Science
Mathematics
Health Professions
",,
"Matin, M. M.",7006284926,166,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Agricultural and Biological Sciences
Materials Science
Engineering
Immunology and Microbiology
Chemical Engineering
Neuroscience
Environmental Science
Multidisciplinary
Physics and Astronomy
Energy
Computer Science
Health Professions
Social Sciences
Dentistry
Mathematics
Veterinary
",0000-0002-7949-7712,
"Naghibzadeh, Mahmoud",6602810348,164,"Computer Science
Engineering
Mathematics
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Chemistry
Materials Science
Social Sciences
Medicine
Decision Sciences
Multidisciplinary
Agricultural and Biological Sciences
Energy
Business, Management and Accounting
Neuroscience
Immunology and Microbiology
Chemical Engineering
",0000-0001-5550-5565,
"Effati, Sohrab",55959847200,161,"Mathematics
Computer Science
Engineering
Decision Sciences
Physics and Astronomy
Neuroscience
Materials Science
Business, Management and Accounting
Multidisciplinary
Chemistry
Earth and Planetary Sciences
Economics, Econometrics and Finance
Psychology
Social Sciences
Agricultural and Biological Sciences
",0000-0001-9752-0034,
"Goharshadi, Elaheh K.",6603772632,159,"Chemistry
Physics and Astronomy
Materials Science
Chemical Engineering
Engineering
Environmental Science
Energy
Biochemistry, Genetics and Molecular Biology
Mathematics
Medicine
Computer Science
Immunology and Microbiology
Business, Management and Accounting
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
",0000-0002-6789-389X,
"Arashi, Mohammad",23026521800,147,"Mathematics
Decision Sciences
Computer Science
Engineering
Chemistry
Earth and Planetary Sciences
Environmental Science
Energy
Medicine
Physics and Astronomy
Chemical Engineering
Multidisciplinary
Health Professions
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Dentistry
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
",0000-0002-5881-9241,
"Sadoghi-Yazdi, Hadi Sadohgi",25960400700,147,"Computer Science
Engineering
Mathematics
Neuroscience
Decision Sciences
Earth and Planetary Sciences
Social Sciences
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Health Professions
Physics and Astronomy
Materials Science
Multidisciplinary
Medicine
",,
"Ostadhassan, M.",54783285600,146,"Earth and Planetary Sciences
Energy
Chemical Engineering
Chemistry
Engineering
Mathematics
Materials Science
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Business, Management and Accounting
Medicine
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Computer Science
",0000-0001-9235-4399,
"Salehi, Mahdi",57189446351,145,"Business, Management and Accounting
Economics, Econometrics and Finance
Social Sciences
Decision Sciences
Computer Science
Environmental Science
Engineering
Arts and Humanities
Psychology
Energy
Multidisciplinary
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
",0000-0003-2698-9817,
"Bahrami, Ahmad R.",7003277389,143,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Engineering
Materials Science
Chemistry
Immunology and Microbiology
Chemical Engineering
Neuroscience
Multidisciplinary
Environmental Science
Physics and Astronomy
Energy
Computer Science
Nursing
Veterinary
Social Sciences
",0000-0001-9122-7216,
"Mohri, M.",7101967892,139,"Medicine
Veterinary
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Environmental Science
Nursing
",0000-0003-3756-8890,
"Stern, Charles R.",57201694697,135,"Earth and Planetary Sciences
Social Sciences
Environmental Science
Arts and Humanities
Multidisciplinary
Engineering
Agricultural and Biological Sciences
",,
"Eshtiagh-Hosseini, Hossein",22934214300,133,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Environmental Science
Medicine
Multidisciplinary
Agricultural and Biological Sciences
",0000-0001-6528-7207,
"Farzaneh-Gord, Mahmood",9243559100,133,"Engineering
Energy
Physics and Astronomy
Chemical Engineering
Environmental Science
Chemistry
Mathematics
Earth and Planetary Sciences
Materials Science
Computer Science
Biochemistry, Genetics and Molecular Biology
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
",0000-0003-2078-2081,
"Tayyari, Sayyed Faramarz",6701798027,133,"Chemistry
Physics and Astronomy
Mathematics
Materials Science
Chemical Engineering
Computer Science
Biochemistry, Genetics and Molecular Biology
Energy
Engineering
Earth and Planetary Sciences
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
",,
"Mousavi-Harami, Reza",6602540674,132,"Earth and Planetary Sciences
Energy
Environmental Science
Agricultural and Biological Sciences
Multidisciplinary
",0000-0002-6129-5012,
"Golian, Abolghasem",24400681300,129,"Agricultural and Biological Sciences
Veterinary
Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Immunology and Microbiology
Earth and Planetary Sciences
",0000-0001-9419-1175,
"Hodtani, Ghosheh Abed",24764541800,129,"Computer Science
Engineering
Mathematics
Materials Science
Energy
Social Sciences
Physics and Astronomy
Medicine
Biochemistry, Genetics and Molecular Biology
",0000-0002-4337-1624,
"Nakhaei Pour, Ali",6602657764,128,"Chemistry
Energy
Chemical Engineering
Materials Science
Physics and Astronomy
Engineering
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Environmental Science
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Multidisciplinary
",0000-0002-8137-499X,
"Niazmand, Hamid",7801450134,127,"Engineering
Physics and Astronomy
Energy
Chemical Engineering
Chemistry
Computer Science
Mathematics
Materials Science
Environmental Science
Medicine
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Health Professions
Business, Management and Accounting
Multidisciplinary
",0000-0002-1638-4075,
"Shariati, M.",23994594000,127,"Engineering
Materials Science
Physics and Astronomy
Mathematics
Chemistry
Computer Science
Earth and Planetary Sciences
Chemical Engineering
Multidisciplinary
Energy
",0000-0003-3042-1896,
"Ahmadi, Jafar",36909713600,126,"Mathematics
Decision Sciences
Engineering
Computer Science
Business, Management and Accounting
Physics and Astronomy
Energy
",0000-0002-2426-2019,
"Sajjadi, Seyed Abdolkarim",35617022600,126,"Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Chemistry
Earth and Planetary Sciences
Computer Science
Decision Sciences
Business, Management and Accounting
Mathematics
Energy
",0000-0002-3998-5703,
"Aliabadian, Mansour",8858277600,125,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Environmental Science
Medicine
Immunology and Microbiology
Multidisciplinary
Mathematics
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Computer Science
",0000-0002-3200-4853,
"Mousavi, Seyed Mahmoud",56915013200,125,"Environmental Science
Materials Science
Chemistry
Chemical Engineering
Engineering
Agricultural and Biological Sciences
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Computer Science
Energy
Earth and Planetary Sciences
Medicine
Immunology and Microbiology
Mathematics
Business, Management and Accounting
",0000-0003-4648-295X,
"Nassiri, Mohammadreza",56265642700,124,"Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Veterinary
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Environmental Science
Materials Science
Chemistry
Engineering
Mathematics
Decision Sciences
",0000-0001-7119-8155,
"Akbarzadeh, Alireza",36617133700,123,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Energy
Chemical Engineering
Medicine
Materials Science
Decision Sciences
Health Professions
Psychology
Biochemistry, Genetics and Molecular Biology
Chemistry
Neuroscience
",0000-0001-8605-8956,
"Khashyarmanesh, Kazem",55902393300,123,"Mathematics
Engineering
",0000-0003-3314-7298,
"Shahtahmassebi, Nasser",23493714100,122,"Physics and Astronomy
Materials Science
Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Computer Science
Mathematics
Medicine
Multidisciplinary
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Agricultural and Biological Sciences
",,
"Ali Mortazavi, Seyed",36141248900,121,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Chemistry
Immunology and Microbiology
Materials Science
Medicine
Nursing
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Veterinary
Energy
Computer Science
",0000-0002-5867-5161,
"Pariz, Naser",10739553800,121,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Materials Science
Energy
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Earth and Planetary Sciences
Environmental Science
Medicine
Decision Sciences
Social Sciences
Agricultural and Biological Sciences
",0000-0001-6689-9176,
