Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Zali, Mohammad Reza",57207799934,753,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Agricultural and Biological Sciences
Chemistry
Decision Sciences
Multidisciplinary
Economics, Econometrics and Finance
Social Sciences
Veterinary
Chemical Engineering
Nursing
Computer Science
Health Professions
Materials Science
Earth and Planetary Sciences
Dentistry
Neuroscience
Engineering
Mathematics
Psychology
",0000-0002-9027-4560,
"Ghafouri-Fard, Soudeh",55387443600,583,"Biochemistry, Genetics and Molecular Biology
Medicine
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Chemistry
Multidisciplinary
Agricultural and Biological Sciences
Materials Science
Computer Science
Physics and Astronomy
Chemical Engineering
Mathematics
Psychology
Environmental Science
Dentistry
Engineering
Arts and Humanities
",0000-0002-0223-499X,
"Mirmiran, Parvin",6602877078,579,"Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Chemistry
Immunology and Microbiology
Psychology
Environmental Science
Engineering
Chemical Engineering
Health Professions
Neuroscience
Computer Science
",0000-0003-2391-4924,
"Taheri, Mohammad",56370131000,508,"Biochemistry, Genetics and Molecular Biology
Medicine
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Chemistry
Multidisciplinary
Agricultural and Biological Sciences
Chemical Engineering
Psychology
Materials Science
Computer Science
Earth and Planetary Sciences
Engineering
Dentistry
",0000-0001-8381-0591,
"Sabour, Siamak",16307842100,424,"Medicine
Biochemistry, Genetics and Molecular Biology
Dentistry
Health Professions
Neuroscience
Nursing
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Physics and Astronomy
Environmental Science
Social Sciences
Multidisciplinary
Chemistry
Arts and Humanities
Psychology
Veterinary
Materials Science
Agricultural and Biological Sciences
Mathematics
",0000-0002-1928-992X,
"Khabazkhoob, Mehdi",16067093200,332,"Medicine
Health Professions
Neuroscience
Environmental Science
Arts and Humanities
Immunology and Microbiology
Nursing
Multidisciplinary
Social Sciences
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Dentistry
Chemical Engineering
Agricultural and Biological Sciences
",0000-0003-0801-8793,
"Masjedi, Mohammed Reza",6603406130,331,"Medicine
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Social Sciences
Health Professions
Chemical Engineering
Dentistry
Psychology
Agricultural and Biological Sciences
Earth and Planetary Sciences
Economics, Econometrics and Finance
Multidisciplinary
Chemistry
Computer Science
Nursing
Engineering
",0000-0002-6871-382X,
"Rezaei-Tavirani, Mostafa",57199354719,331,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Dentistry
Immunology and Microbiology
Engineering
Neuroscience
Materials Science
Environmental Science
Chemical Engineering
Agricultural and Biological Sciences
Mathematics
Health Professions
Physics and Astronomy
Multidisciplinary
Earth and Planetary Sciences
Computer Science
Veterinary
Social Sciences
",0000-0003-1767-7475,
"Sharifi-Rad, Javad",56022647300,329,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Chemistry
Agricultural and Biological Sciences
Chemical Engineering
Immunology and Microbiology
Materials Science
Engineering
Physics and Astronomy
Computer Science
Environmental Science
Nursing
Health Professions
Neuroscience
Social Sciences
Earth and Planetary Sciences
Multidisciplinary
Mathematics
Veterinary
",0000-0002-7301-8151,
"Kazemi, Bahram",6602441752,309,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Veterinary
Chemical Engineering
Engineering
Materials Science
Chemistry
Neuroscience
Environmental Science
Physics and Astronomy
Multidisciplinary
Earth and Planetary Sciences
Dentistry
Computer Science
Mathematics
Health Professions
",0000-0002-3072-8831,
