Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Sahebkar, Amirhosein",26639699900,1423,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Immunology and Microbiology
Nursing
Neuroscience
Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
Engineering
Health Professions
Chemical Engineering
Computer Science
Physics and Astronomy
Psychology
Materials Science
Mathematics
Social Sciences
Earth and Planetary Sciences
Dentistry
Veterinary
",,
"Ghayuor-Mobarhan, Majid",15848304500,543,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Agricultural and Biological Sciences
Health Professions
Neuroscience
Immunology and Microbiology
Environmental Science
Psychology
Chemical Engineering
Social Sciences
Computer Science
Physics and Astronomy
Engineering
Mathematics
Earth and Planetary Sciences
Dentistry
Multidisciplinary
Arts and Humanities
Materials Science
",,
"Ramezani, Mohammad",6701412858,411,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Materials Science
Engineering
Medicine
Chemical Engineering
Physics and Astronomy
Immunology and Microbiology
Agricultural and Biological Sciences
Environmental Science
Computer Science
Mathematics
Health Professions
Social Sciences
Earth and Planetary Sciences
Multidisciplinary
Nursing
",0000-0001-5888-6703,
"Esmaeily, Habibollah",55864410200,406,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Social Sciences
Health Professions
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Immunology and Microbiology
Agricultural and Biological Sciences
Dentistry
Neuroscience
Computer Science
Chemistry
Energy
Psychology
Chemical Engineering
Physics and Astronomy
Multidisciplinary
Mathematics
",0000-0003-4139-546X,
"Hosseinzadeh, Hossein",56212454800,386,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Chemistry
Agricultural and Biological Sciences
Environmental Science
Neuroscience
Chemical Engineering
Nursing
Engineering
Psychology
Materials Science
Multidisciplinary
",0000-0002-3483-851X,
"Abnous, Khalil",22937196500,368,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Materials Science
Engineering
Medicine
Physics and Astronomy
Chemical Engineering
Immunology and Microbiology
Environmental Science
Agricultural and Biological Sciences
Neuroscience
Multidisciplinary
Nursing
Mathematics
Earth and Planetary Sciences
Veterinary
Social Sciences
",0000-0001-6314-0164,
"Avan, Amir",55332977800,351,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Nursing
Agricultural and Biological Sciences
Health Professions
Immunology and Microbiology
Chemical Engineering
Neuroscience
Engineering
Psychology
Materials Science
Computer Science
Social Sciences
Environmental Science
Physics and Astronomy
Multidisciplinary
Arts and Humanities
Veterinary
",0000-0001-8974-2120,
"Jafaari, Mahmoud Reza",14831301000,325,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Immunology and Microbiology
Chemical Engineering
Chemistry
Materials Science
Engineering
Physics and Astronomy
Agricultural and Biological Sciences
Multidisciplinary
Veterinary
Environmental Science
Dentistry
Social Sciences
Neuroscience
Computer Science
",,
"Sadeghi, Ramin",16242699900,285,"Medicine
Biochemistry, Genetics and Molecular Biology
Health Professions
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Social Sciences
Chemistry
Neuroscience
Nursing
Dentistry
Arts and Humanities
Environmental Science
Engineering
Physics and Astronomy
Chemical Engineering
Computer Science
",0000-0002-7664-0691,
"Boskabady, Mohammad Hossein",7004360435,275,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Immunology and Microbiology
Chemistry
Agricultural and Biological Sciences
Health Professions
Chemical Engineering
Neuroscience
Nursing
Psychology
Multidisciplinary
Materials Science
Computer Science
Mathematics
Engineering
Veterinary
Social Sciences
",,
