Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Geramizadeh, Bita",6603110883,454,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Psychology
Agricultural and Biological Sciences
Materials Science
Multidisciplinary
Chemistry
Engineering
Chemical Engineering
Physics and Astronomy
Neuroscience
Nursing
Dentistry
Health Professions
Veterinary
Earth and Planetary Sciences
Environmental Science
Arts and Humanities
Mathematics
",0000-0002-4867-5686,
"Bagheri-Lankarani, Kamran",57194575341,451,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Social Sciences
Nursing
Agricultural and Biological Sciences
Psychology
Engineering
Health Professions
Multidisciplinary
Chemistry
Environmental Science
Neuroscience
Arts and Humanities
Chemical Engineering
Computer Science
Dentistry
Mathematics
Materials Science
Economics, Econometrics and Finance
Veterinary
",0000-0002-7524-9017,
"Karimi, Mehran",56472931600,377,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Psychology
Nursing
Energy
Social Sciences
Engineering
Health Professions
Computer Science
Agricultural and Biological Sciences
Economics, Econometrics and Finance
Environmental Science
Dentistry
Multidisciplinary
Chemistry
Neuroscience
Mathematics
",0000-0001-8555-1001,
"Azarpira, Negar",14027815200,371,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Agricultural and Biological Sciences
Engineering
Materials Science
Chemistry
Environmental Science
Chemical Engineering
Physics and Astronomy
Psychology
Energy
Neuroscience
Veterinary
Nursing
Health Professions
Multidisciplinary
Mathematics
",0000-0002-5549-0057,
"Ghasemi, Younes",6506711864,366,"Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Medicine
Agricultural and Biological Sciences
Chemistry
Environmental Science
Materials Science
Engineering
Energy
Mathematics
Dentistry
Multidisciplinary
Physics and Astronomy
Computer Science
Health Professions
Neuroscience
Psychology
Social Sciences
",0000-0003-4172-0672,
"Malek-hosseini, Seyed Ali",6602849824,307,"Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Psychology
Multidisciplinary
Agricultural and Biological Sciences
",0000-0002-0853-9938,
"Mortazavi, Seyed Mohammad Javad",57199416316,296,"Medicine
Environmental Science
Health Professions
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Engineering
Earth and Planetary Sciences
Immunology and Microbiology
Chemistry
Neuroscience
Materials Science
Dentistry
Agricultural and Biological Sciences
Computer Science
Energy
Nursing
Social Sciences
Psychology
Multidisciplinary
",0000-0003-0139-2774,
"Asadi-Pooya, Ali Akbar",6603453399,280,"Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
Psychology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Nursing
Physics and Astronomy
Multidisciplinary
Agricultural and Biological Sciences
Chemistry
",0000-0002-2598-7601,
"Mehrabani, Davoud",6602632282,231,"Medicine
Veterinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Dentistry
Chemistry
Psychology
Chemical Engineering
Engineering
Health Professions
Materials Science
Social Sciences
Neuroscience
",0000-0002-5738-1719,
"Nikeghbalian, Saman",55901478000,216,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Multidisciplinary
Immunology and Microbiology
Nursing
Engineering
Agricultural and Biological Sciences
Arts and Humanities
Chemical Engineering
Neuroscience
",,
