Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Motlagh, Mohammad Esmaeil",24367173700,310,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Computer Science
Social Sciences
Agricultural and Biological Sciences
Environmental Science
Psychology
Mathematics
Engineering
Immunology and Microbiology
Multidisciplinary
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Chemistry
Materials Science
Business, Management and Accounting
Energy
Chemical Engineering
",0000-0002-2971-8660,
"Rahim, Fakher",23052247800,262,"Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Immunology and Microbiology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Multidisciplinary
Computer Science
Neuroscience
Chemistry
Psychology
Engineering
Mathematics
Nursing
Veterinary
Materials Science
Chemical Engineering
Social Sciences
Dentistry
Decision Sciences
",0000-0002-2857-4562,
"Jaafarzadeh, Neamatollah",35085100700,178,"Environmental Science
Medicine
Chemistry
Chemical Engineering
Engineering
Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Earth and Planetary Sciences
Energy
Multidisciplinary
Materials Science
Physics and Astronomy
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Social Sciences
Decision Sciences
Neuroscience
",,
"Saki, Najmaldin",39062048000,172,"Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Neuroscience
Immunology and Microbiology
Computer Science
Engineering
Multidisciplinary
",0000-0001-8494-5594,
"Ahmadi-Moghadam, Mehdi",16644923000,154,"Environmental Science
Chemistry
Medicine
Chemical Engineering
Engineering
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Multidisciplinary
Physics and Astronomy
Materials Science
Immunology and Microbiology
Earth and Planetary Sciences
Energy
Pharmacology, Toxicology and Pharmaceutics
Decision Sciences
",0000-0002-9227-7562,
"Makvandi, Manoochehr",16070408100,151,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Chemical Engineering
Engineering
Environmental Science
Physics and Astronomy
Chemistry
Earth and Planetary Sciences
Mathematics
Multidisciplinary
Neuroscience
",0000-0001-5602-6961,
"Jorfi, Sahand",27867883400,138,"Environmental Science
Chemical Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Medicine
Engineering
Agricultural and Biological Sciences
Physics and Astronomy
Immunology and Microbiology
Materials Science
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Energy
Earth and Planetary Sciences
Decision Sciences
Dentistry
",0000-0003-2505-7356,
"Saki, Nader",16403314600,133,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Neuroscience
Health Professions
Agricultural and Biological Sciences
Immunology and Microbiology
Psychology
Nursing
Social Sciences
Multidisciplinary
Engineering
",0000-0003-4564-6406,
"Latifi, Seyyed Mahmoud",36729567700,128,"Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
Environmental Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Social Sciences
Agricultural and Biological Sciences
Engineering
Psychology
Mathematics
Neuroscience
Dentistry
Chemical Engineering
",0000-0001-8989-5397,
"Ahmadi-Angali, Kambiz",55826792900,126,"Medicine
Environmental Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Nursing
Immunology and Microbiology
Chemical Engineering
Engineering
Chemistry
Agricultural and Biological Sciences
Decision Sciences
Social Sciences
Health Professions
Earth and Planetary Sciences
Psychology
Energy
Economics, Econometrics and Finance
Physics and Astronomy
Multidisciplinary
Neuroscience
",0000-0002-1530-2349,
"Goudarzi, Gholamreza",56541899600,125,"Environmental Science
Medicine
Earth and Planetary Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Engineering
Agricultural and Biological Sciences
Chemistry
Materials Science
Social Sciences
Economics, Econometrics and Finance
Multidisciplinary
Chemical Engineering
Physics and Astronomy
Business, Management and Accounting
Nursing
",0000-0001-5387-0761,
"Mohammadi, Mohammad Javad",56382031300,124,"Environmental Science
Medicine
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Engineering
Multidisciplinary
Chemistry
Immunology and Microbiology
Agricultural and Biological Sciences
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Social Sciences
Dentistry
Psychology
Energy
",0000-0001-8621-0460,
"Khorsandi, Laya Sadat",35616252000,123,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Neuroscience
Immunology and Microbiology
Agricultural and Biological Sciences
Chemical Engineering
Multidisciplinary
Chemistry
Nursing
Veterinary
Earth and Planetary Sciences
Physics and Astronomy
Arts and Humanities
Engineering
Mathematics
Social Sciences
",,
"Haghighizadeh, Mohamad Hossien",18037288100,117,"Medicine
Nursing
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Health Professions
Agricultural and Biological Sciences
Neuroscience
Social Sciences
Immunology and Microbiology
Dentistry
Engineering
",0000-0002-4197-0199,
"Cheraghian, Bahman",35483435500,114,"Medicine
Nursing
Biochemistry, Genetics and Molecular Biology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Immunology and Microbiology
Psychology
Social Sciences
Agricultural and Biological Sciences
Earth and Planetary Sciences
Multidisciplinary
Chemistry
",0000-0001-5446-6998,
"Sarkaki, A.",22635692300,113,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Agricultural and Biological Sciences
Immunology and Microbiology
Environmental Science
Health Professions
Veterinary
Nursing
Materials Science
Multidisciplinary
Chemistry
",0000-0001-9272-6228,
"Babaei, Ali Akbar",56366639000,107,"Environmental Science
Medicine
Engineering
Chemical Engineering
Chemistry
Earth and Planetary Sciences
Agricultural and Biological Sciences
Immunology and Microbiology
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Multidisciplinary
Economics, Econometrics and Finance
Social Sciences
",0000-0002-7225-1568,
"Alavi, Seyed Mohammad",35578210200,104,"Medicine
Immunology and Microbiology
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Biochemistry, Genetics and Molecular Biology
Mathematics
Engineering
Decision Sciences
Materials Science
Multidisciplinary
Chemical Engineering
Agricultural and Biological Sciences
Chemistry
",0000-0003-4328-4747,
"Azizi, Ebrahim",7004196673,104,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Materials Science
Chemistry
Engineering
Chemical Engineering
Environmental Science
Physics and Astronomy
Immunology and Microbiology
Agricultural and Biological Sciences
Multidisciplinary
Dentistry
Computer Science
",,
"Badavi, Mohammad",24381945700,104,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Neuroscience
Agricultural and Biological Sciences
Multidisciplinary
Materials Science
Chemical Engineering
Chemistry
Nursing
Engineering
",0000-0003-2290-8565,
"Mard, Seyed Ali",17135498500,104,"Biochemistry, Genetics and Molecular Biology
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Neuroscience
Social Sciences
Multidisciplinary
Arts and Humanities
Nursing
Earth and Planetary Sciences
Chemistry
Materials Science
Agricultural and Biological Sciences
",0000-0002-4323-1672,
"Zarei Mahmoudabadi, Ali",57195496581,103,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Veterinary
Environmental Science
Health Professions
Psychology
Materials Science
Chemical Engineering
",0000-0002-5738-1495,
"Ahangarpour, Akram",25421015900,100,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Immunology and Microbiology
Agricultural and Biological Sciences
Environmental Science
Veterinary
Multidisciplinary
Psychology
Chemistry
Engineering
",0000-0002-9534-9699,
"Hemmati, Ali Asghar",56363450600,100,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Neuroscience
Agricultural and Biological Sciences
Environmental Science
Nursing
Chemistry
Multidisciplinary
",0000-0003-2085-8437,
"Abedi, Parvin",16038956500,99,"Medicine
Nursing
Social Sciences
Biochemistry, Genetics and Molecular Biology
Health Professions
Psychology
Agricultural and Biological Sciences
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
",0000-0002-6980-0693,
"Saki Malehi, Amal",57192804351,98,"Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Nursing
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Immunology and Microbiology
Mathematics
Computer Science
Social Sciences
Engineering
Earth and Planetary Sciences
Decision Sciences
Dentistry
Multidisciplinary
Chemistry
Neuroscience
",0000-0002-0952-5861,
"Takdastan, Afshin",26430258900,98,"Environmental Science
Chemistry
Chemical Engineering
Medicine
Engineering
Physics and Astronomy
Multidisciplinary
Materials Science
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Earth and Planetary Sciences
Energy
Agricultural and Biological Sciences
Immunology and Microbiology
Social Sciences
",0000-0002-0419-1698,
"Yadollahpour, Ali",57204564896,96,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Neuroscience
Agricultural and Biological Sciences
Engineering
Multidisciplinary
Chemistry
Environmental Science
Mathematics
Computer Science
Health Professions
Materials Science
Chemical Engineering
",0000-0002-1216-2109,
"Khosravi, Azar Dokht",12768384900,94,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Multidisciplinary
Environmental Science
Earth and Planetary Sciences
Dentistry
Materials Science
Chemical Engineering
Social Sciences
Chemistry
",0000-0002-7852-6868,
"Ramezani, Zahra",6506902542,93,"Chemistry
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Immunology and Microbiology
Energy
Physics and Astronomy
Social Sciences
Earth and Planetary Sciences
Materials Science
Mathematics
",0000-0001-7404-2105,
"Amini, Payam",57191249757,90,"Medicine
Dentistry
Biochemistry, Genetics and Molecular Biology
Psychology
Immunology and Microbiology
Mathematics
Nursing
Engineering
Health Professions
Pharmacology, Toxicology and Pharmaceutics
Decision Sciences
Social Sciences
Neuroscience
",,
"Khodadadi, Ali",25026177700,89,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Environmental Science
Psychology
Veterinary
Materials Science
Agricultural and Biological Sciences
Neuroscience
",0000-0003-0442-273X,
"Dastoorpoor, Maryam",56444363400,88,"Medicine
Environmental Science
Social Sciences
Nursing
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Earth and Planetary Sciences
Business, Management and Accounting
Multidisciplinary
Neuroscience
Arts and Humanities
Engineering
Psychology
Chemical Engineering
Agricultural and Biological Sciences
",0000-0001-5268-334X,
"Javaherizadeh, Hazhir",16686268300,87,"Medicine
Biochemistry, Genetics and Molecular Biology
Nursing
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
",0000-0001-7898-4589,
"Nikakhlagh, Soheila",16402645400,87,"Medicine
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Health Professions
Agricultural and Biological Sciences
Neuroscience
Immunology and Microbiology
Nursing
Psychology
Social Sciences
Engineering
",0000-0002-2902-0385,
"Hosseini, Seyed Ahmad",57202613022,85,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Nursing
Agricultural and Biological Sciences
Environmental Science
Engineering
Immunology and Microbiology
Chemical Engineering
Mathematics
Health Professions
Materials Science
Physics and Astronomy
Chemistry
Neuroscience
Psychology
Social Sciences
",0000-0002-9075-4126,
"Khodayar, Mohammad Javad",8625174900,83,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Nursing
Chemistry
Neuroscience
Health Professions
Physics and Astronomy
Chemical Engineering
Energy
Multidisciplinary
Agricultural and Biological Sciences
",0000-0001-9518-1286,
"Moghimipour, Eskandar",14831627200,83,"Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Chemistry
Chemical Engineering
Agricultural and Biological Sciences
Engineering
Materials Science
",0000-0002-6686-2485,
"Dianat, Mahin",6602716428,82,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Immunology and Microbiology
Multidisciplinary
Chemistry
Neuroscience
Chemical Engineering
Arts and Humanities
Engineering
Psychology
Social Sciences
Agricultural and Biological Sciences
",,
"Goudarzi, Mehdi",6602930659,77,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemistry
Neuroscience
Immunology and Microbiology
Nursing
Chemical Engineering
Health Professions
Agricultural and Biological Sciences
",0000-0002-7816-4449,
"Amin, Mansour",8670499500,76,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Engineering
Chemical Engineering
Physics and Astronomy
Materials Science
Chemistry
Environmental Science
Health Professions
Dentistry
Energy
Agricultural and Biological Sciences
Earth and Planetary Sciences
Mathematics
",0000-0002-9365-8850,
"Hashemitabar, Mahmoud",57200368632,76,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Immunology and Microbiology
Chemical Engineering
Engineering
Chemistry
Environmental Science
Veterinary
Materials Science
Earth and Planetary Sciences
Nursing
Multidisciplinary
Computer Science
Neuroscience
",0000-0002-8800-3761,
"Mohammadi-Asl, Javad",24169403500,76,"Biochemistry, Genetics and Molecular Biology
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Nursing
Environmental Science
Health Professions
Arts and Humanities
Veterinary
Multidisciplinary
Social Sciences
Chemistry
Computer Science
",0000-0002-1750-0541,
"Ghadiri, Ata A.",56740873000,75,"Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Neuroscience
Chemistry
Chemical Engineering
Nursing
Health Professions
Dentistry
Materials Science
Social Sciences
Multidisciplinary
",0000-0001-7431-7439,
"Kalantari, Heibatullah",22134937300,75,"Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Immunology and Microbiology
Engineering
Physics and Astronomy
Agricultural and Biological Sciences
Neuroscience
Nursing
Multidisciplinary
",0000-0002-7912-7295,
"Yaghoobi, Reza",21637863600,74,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Psychology
Environmental Science
Engineering
Veterinary
",,
"Farbood, Yaghoob",57203921797,73,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Neuroscience
Immunology and Microbiology
Agricultural and Biological Sciences
Environmental Science
Multidisciplinary
Chemistry
",0000-0002-6390-0079,
"Rezaei-Matehkolaei, Ali",54785278200,73,"Medicine
Immunology and Microbiology
Agricultural and Biological Sciences
Veterinary
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Environmental Science
Health Professions
",0000-0002-3119-8342,
"Samarbaf-Zadeh, Ali Reza",6507546574,73,"Medicine
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemistry
Environmental Science
Nursing
Materials Science
Multidisciplinary
Chemical Engineering
",,
"Keikhaei, Bijan",23050329000,72,"Medicine
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Agricultural and Biological Sciences
Nursing
Environmental Science
Veterinary
Social Sciences
Neuroscience
",0000-0002-3087-7650,
"Mansouri, Esrafil",54789924300,71,"Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Environmental Science
Chemistry
Immunology and Microbiology
Chemical Engineering
Neuroscience
Agricultural and Biological Sciences
Veterinary
",,
