Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Bakhshiansohi, Hamed",35221072900,1092,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
Computer Science
",,
"Jafari, Abideh",35221535900,1087,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
Computer Science
",,
"Zeinali, M.",35222605900,963,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
",,
"Mallakpour, Sh E.",7006028542,834,"Materials Science
Chemistry
Chemical Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Engineering
Environmental Science
Medicine
Energy
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Business, Management and Accounting
Agricultural and Biological Sciences
Computer Science
Social Sciences
Multidisciplinary
Arts and Humanities
",,
"Ensafi, Ail A.",7004913329,532,"Chemistry
Materials Science
Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Environmental Science
Energy
Medicine
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Business, Management and Accounting
Computer Science
Immunology and Microbiology
Social Sciences
",0000-0002-1193-4090,
"Hajipour, Abdolreza",35597205700,409,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Environmental Science
Engineering
Agricultural and Biological Sciences
Medicine
Earth and Planetary Sciences
Mathematics
Veterinary
Multidisciplinary
",,
"Rezaei, Behzad",8285878300,376,"Chemistry
Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Energy
Environmental Science
Medicine
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Agricultural and Biological Sciences
Computer Science
Immunology and Microbiology
Earth and Planetary Sciences
",0000-0003-0055-0486,
"Sharma, Seema",56713058200,350,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
",,
"Eslamian, Seyed Saeid",15724845200,295,"Environmental Science
Engineering
Earth and Planetary Sciences
Agricultural and Biological Sciences
Social Sciences
Energy
Multidisciplinary
Medicine
Economics, Econometrics and Finance
Business, Management and Accounting
Computer Science
Decision Sciences
Physics and Astronomy
",0000-0002-6648-3354,
"Shamanian, Morteza",6507502544,261,"Materials Science
Engineering
Physics and Astronomy
Chemistry
Computer Science
Chemical Engineering
Decision Sciences
Business, Management and Accounting
Earth and Planetary Sciences
Energy
Mathematics
Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
",,
"Karimzadeh, F.",8289241200,252,"Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Mathematics
Computer Science
Energy
Agricultural and Biological Sciences
Earth and Planetary Sciences
Decision Sciences
Business, Management and Accounting
Medicine
Social Sciences
",0000-0002-7561-5021,
"Dinari, Mohammad",16230322000,229,"Materials Science
Chemistry
Chemical Engineering
Physics and Astronomy
Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Energy
Earth and Planetary Sciences
Medicine
Computer Science
Agricultural and Biological Sciences
Business, Management and Accounting
Pharmacology, Toxicology and Pharmaceutics
Mathematics
Decision Sciences
",0000-0001-5291-7142,
