Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"B. Gharehpetian, Gevork",6603012446,771,"Engineering
Energy
Computer Science
Mathematics
Physics and Astronomy
Environmental Science
Materials Science
Decision Sciences
Multidisciplinary
Social Sciences
Chemical Engineering
Medicine
Business, Management and Accounting
Chemistry
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Neuroscience
",0000-0003-1521-790X,
"Dehghan, Mehdi",35579519800,676,"Mathematics
Engineering
Computer Science
Physics and Astronomy
Materials Science
Decision Sciences
Chemistry
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Medicine
Economics, Econometrics and Finance
Environmental Science
Multidisciplinary
",0000-0002-2573-9755,
"Menhaj, Mohammad Bagher",35569062100,455,"Computer Science
Engineering
Mathematics
Energy
Physics and Astronomy
Materials Science
Environmental Science
Decision Sciences
Multidisciplinary
Social Sciences
Chemical Engineering
Medicine
Business, Management and Accounting
Earth and Planetary Sciences
Neuroscience
Biochemistry, Genetics and Molecular Biology
Chemistry
Arts and Humanities
Agricultural and Biological Sciences
",,
"Meybodi, Mohammad Reza Mollakhalili",57195449013,439,"Computer Science
Engineering
Mathematics
Decision Sciences
Social Sciences
Physics and Astronomy
Business, Management and Accounting
Biochemistry, Genetics and Molecular Biology
Economics, Econometrics and Finance
Materials Science
Energy
Neuroscience
Chemical Engineering
Multidisciplinary
Chemistry
Arts and Humanities
Environmental Science
Psychology
",,
"Faez, K.",6701405192,345,"Computer Science
Engineering
Mathematics
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Social Sciences
Neuroscience
Decision Sciences
Medicine
Earth and Planetary Sciences
Chemistry
Health Professions
Environmental Science
Energy
Chemical Engineering
Multidisciplinary
Immunology and Microbiology
Agricultural and Biological Sciences
",0000-0002-1159-4866,
"Jafari, Sajad",55196116900,319,"Mathematics
Engineering
Physics and Astronomy
Computer Science
Multidisciplinary
Materials Science
Chemistry
Medicine
Neuroscience
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Energy
Agricultural and Biological Sciences
Immunology and Microbiology
Health Professions
",0000-0002-6845-7539,
"Talebi, Heidar Ali",6604071127,311,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Energy
Materials Science
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Medicine
Neuroscience
Social Sciences
Economics, Econometrics and Finance
Decision Sciences
Business, Management and Accounting
Multidisciplinary
Chemistry
",0000-0001-6038-2109,
"Eslami, M. Reza",55955073400,298,"Engineering
Materials Science
Physics and Astronomy
Mathematics
Chemical Engineering
Chemistry
Computer Science
Earth and Planetary Sciences
Medicine
Biochemistry, Genetics and Molecular Biology
Environmental Science
Multidisciplinary
Psychology
Energy
Agricultural and Biological Sciences
",0000-0002-8080-5364,
"Montazer, Majid",35311296300,297,"Materials Science
Chemistry
Chemical Engineering
Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Environmental Science
Medicine
Agricultural and Biological Sciences
Business, Management and Accounting
Energy
Pharmacology, Toxicology and Pharmaceutics
Economics, Econometrics and Finance
Immunology and Microbiology
Health Professions
Computer Science
Social Sciences
Dentistry
Mathematics
",0000-0002-1983-6735,
"Hosseinian, S. Hossein",9333494900,293,"Engineering
Energy
Computer Science
Mathematics
Environmental Science
Social Sciences
Materials Science
Physics and Astronomy
Decision Sciences
Multidisciplinary
Business, Management and Accounting
Agricultural and Biological Sciences
",0000-0002-9108-5833,
"Vahidi, Behrooz",23010744200,291,"Engineering
Energy
Computer Science
Mathematics
Materials Science
Physics and Astronomy
Social Sciences
Chemical Engineering
Environmental Science
Business, Management and Accounting
Chemistry
Economics, Econometrics and Finance
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Earth and Planetary Sciences
",0000-0002-9430-9468,
"Abdipour, Abdolali",6602718829,271,"Engineering
Computer Science
Physics and Astronomy
Materials Science
Social Sciences
Mathematics
Energy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",,
"Moztarzadeh, Fathollah",6602183442,264,"Materials Science
Engineering
Chemistry
Chemical Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Medicine
Computer Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Energy
Business, Management and Accounting
Social Sciences
Neuroscience
Multidisciplinary
Arts and Humanities
Mathematics
",0000-0001-9109-0264,
"Abdouss, Majid",6506390061,243,"Materials Science
Chemistry
Chemical Engineering
Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Environmental Science
Energy
Earth and Planetary Sciences
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Mathematics
Business, Management and Accounting
Multidisciplinary
Arts and Humanities
",,
