Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Ganjali, Mohammad Reza",7004834165,1191,"Chemistry
Materials Science
Physics and Astronomy
Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Medicine
Agricultural and Biological Sciences
Energy
Computer Science
Immunology and Microbiology
Earth and Planetary Sciences
Multidisciplinary
Social Sciences
Mathematics
Psychology
Health Professions
",0000-0002-2968-0981,
"Tavakkoli-Moghaddam, Reza",57207533714,627,"Engineering
Computer Science
Mathematics
Decision Sciences
Business, Management and Accounting
Environmental Science
Social Sciences
Physics and Astronomy
Energy
Materials Science
Chemistry
Economics, Econometrics and Finance
Medicine
Multidisciplinary
Chemical Engineering
Earth and Planetary Sciences
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Neuroscience
Arts and Humanities
",0000-0002-6757-926X,
"Norouzi, Parviz",6602818962,616,"Chemistry
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
Environmental Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Medicine
Agricultural and Biological Sciences
Computer Science
Energy
Immunology and Microbiology
Social Sciences
Earth and Planetary Sciences
Mathematics
",,
"Moosavi-Movahedi, Ali A.",23098455900,594,"Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Physics and Astronomy
Agricultural and Biological Sciences
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Engineering
Medicine
Immunology and Microbiology
Environmental Science
Mathematics
Computer Science
Multidisciplinary
Energy
Health Professions
Social Sciences
Earth and Planetary Sciences
Neuroscience
Veterinary
",,
"Fahim, Ali",35221405600,586,"Physics and Astronomy
Engineering
Mathematics
Multidisciplinary
",0000-0001-5736-6001,
"Saboury, Ali Akbar",7004871874,524,"Biochemistry, Genetics and Molecular Biology
Chemistry
Physics and Astronomy
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Agricultural and Biological Sciences
Medicine
Engineering
Environmental Science
Immunology and Microbiology
Computer Science
Mathematics
Multidisciplinary
Decision Sciences
Energy
Earth and Planetary Sciences
Business, Management and Accounting
Neuroscience
Health Professions
Dentistry
Social Sciences
",,
"Soltanian-Zadeh, Hamid",34573212500,486,"Computer Science
Engineering
Medicine
Physics and Astronomy
Neuroscience
Biochemistry, Genetics and Molecular Biology
Health Professions
Mathematics
Materials Science
Agricultural and Biological Sciences
Energy
Chemical Engineering
Earth and Planetary Sciences
Decision Sciences
Social Sciences
Multidisciplinary
Business, Management and Accounting
Immunology and Microbiology
Environmental Science
Chemistry
Psychology
",,
"Azadeh, Ali H.",56268189600,446,"Engineering
Computer Science
Mathematics
Business, Management and Accounting
Decision Sciences
Energy
Environmental Science
Chemical Engineering
Social Sciences
Medicine
Multidisciplinary
Agricultural and Biological Sciences
Earth and Planetary Sciences
Economics, Econometrics and Finance
Chemistry
Materials Science
Physics and Astronomy
Neuroscience
Health Professions
Psychology
",,
"Badiei, Alireza",23033319600,403,"Chemistry
Materials Science
Chemical Engineering
Environmental Science
Physics and Astronomy
Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Energy
Agricultural and Biological Sciences
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Psychology
Earth and Planetary Sciences
Immunology and Microbiology
Social Sciences
Mathematics
",0000-0002-6985-7497,
"Lucas, Caro",7402042282,360,"Computer Science
Engineering
Mathematics
Earth and Planetary Sciences
Energy
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Medicine
Environmental Science
Decision Sciences
Social Sciences
Materials Science
Chemical Engineering
Multidisciplinary
Neuroscience
Agricultural and Biological Sciences
Chemistry
Immunology and Microbiology
Health Professions
Business, Management and Accounting
Arts and Humanities
",,
"Faiz, Jawad",7005657474,345,"Engineering
Energy
Computer Science
Mathematics
Materials Science
Physics and Astronomy
Social Sciences
Multidisciplinary
Environmental Science
Decision Sciences
Chemistry
",,
"Mohajerzadeh, Shams",7003948069,327,"Engineering
Materials Science
Physics and Astronomy
Chemistry
Chemical Engineering
Computer Science
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
Mathematics
Earth and Planetary Sciences
Environmental Science
Energy
Social Sciences
",,
"Ghasemi, Jahan B.",7003855274,325,"Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Physics and Astronomy
Materials Science
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Engineering
Agricultural and Biological Sciences
Medicine
Mathematics
Multidisciplinary
Energy
Earth and Planetary Sciences
Immunology and Microbiology
Psychology
Social Sciences
Business, Management and Accounting
Neuroscience
Nursing
",0000-0002-0380-8000,
"Afzali-Kusha, Ali",8568812600,308,"Engineering
Computer Science
Materials Science
Physics and Astronomy
Mathematics
Energy
Medicine
Biochemistry, Genetics and Molecular Biology
Decision Sciences
Social Sciences
Neuroscience
",,
"Bozorg-Haddad, Omid",8631076400,295,"Environmental Science
Engineering
Agricultural and Biological Sciences
Earth and Planetary Sciences
Computer Science
Social Sciences
Mathematics
Energy
Economics, Econometrics and Finance
Multidisciplinary
Chemical Engineering
Decision Sciences
Business, Management and Accounting
Health Professions
Materials Science
",0000-0001-6607-9581,
"Zarei-Hanzaki, Abbas",6603295443,293,"Engineering
Materials Science
Physics and Astronomy
Chemistry
Computer Science
Earth and Planetary Sciences
Mathematics
Chemical Engineering
Environmental Science
Medicine
",0000-0002-3867-492X,
"Emam-Djomeh, Zahra",16041822600,286,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Chemistry
Chemical Engineering
Engineering
Materials Science
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Physics and Astronomy
Medicine
Nursing
Veterinary
Multidisciplinary
Computer Science
Mathematics
Health Professions
Social Sciences
",0000-0002-1690-1968,
