Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Vessally, Esmail",22982172500,270,"Chemistry
Chemical Engineering
Physics and Astronomy
Materials Science
Biochemistry, Genetics and Molecular Biology
Computer Science
Environmental Science
Engineering
Pharmacology, Toxicology and Pharmaceutics
Mathematics
",,
"Veisi, Hojat",8902726600,231,"Chemistry
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Engineering
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Multidisciplinary
Computer Science
Medicine
Health Professions
Energy
Business, Management and Accounting
Agricultural and Biological Sciences
",0000-0002-8606-9011,
"Zare, Abdolkarim",16023626900,171,"Chemistry
Chemical Engineering
Engineering
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Computer Science
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Energy
Agricultural and Biological Sciences
",,
"Es'Haghi, Zarrin",8693032700,151,"Chemistry
Biochemistry, Genetics and Molecular Biology
Environmental Science
Chemical Engineering
Agricultural and Biological Sciences
Engineering
Physics and Astronomy
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Medicine
Energy
Immunology and Microbiology
Computer Science
Social Sciences
Multidisciplinary
Nursing
Veterinary
",,
"Rezanejade Bardajee, Ghasem",8891735500,151,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Energy
Medicine
Computer Science
Health Professions
Business, Management and Accounting
",0000-0001-7331-0059,
"Massoumi, Bakhshali",6507349521,139,"Materials Science
Chemistry
Physics and Astronomy
Chemical Engineering
Engineering
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Energy
",0000-0002-7720-2677,
"Tavallali, Hossein",26025337500,123,"Chemistry
Environmental Science
Chemical Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Engineering
Materials Science
Medicine
Pharmacology, Toxicology and Pharmaceutics
Immunology and Microbiology
Health Professions
Earth and Planetary Sciences
Energy
Computer Science
",0000-0002-9370-153X,
"Mohammadi, Sayed Zia",57203777605,116,"Chemistry
Environmental Science
Agricultural and Biological Sciences
Materials Science
Engineering
Chemical Engineering
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Energy
Computer Science
Earth and Planetary Sciences
Mathematics
Multidisciplinary
",,
"Saeidian, Hamid",15136960300,109,"Chemistry
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Materials Science
Environmental Science
Engineering
Pharmacology, Toxicology and Pharmaceutics
Computer Science
Mathematics
",,
"Behjatmanesh-Ardakani, Reza",55897678100,108,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Computer Science
Biochemistry, Genetics and Molecular Biology
Engineering
Energy
Environmental Science
Agricultural and Biological Sciences
Mathematics
Multidisciplinary
",,
"Hakimi, Mohammad",7006646771,108,"Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Physics and Astronomy
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Agricultural and Biological Sciences
Medicine
Energy
Immunology and Microbiology
Earth and Planetary Sciences
Health Professions
Multidisciplinary
Computer Science
",0000-0001-8179-1622,
"Najafi, Ezzatollah",26323215200,108,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Environmental Science
Engineering
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Immunology and Microbiology
Medicine
Energy
Social Sciences
",,
"Teimouri, Abbas",21733846400,98,"Chemistry
Physics and Astronomy
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
Engineering
Computer Science
Energy
Agricultural and Biological Sciences
Medicine
Pharmacology, Toxicology and Pharmaceutics
Mathematics
",,
"Nezhadali, Azizollah",23052038100,97,"Chemistry
Materials Science
Engineering
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
Agricultural and Biological Sciences
Social Sciences
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Medicine
Multidisciplinary
Computer Science
",,
"Shokri, Aliasghar",12761690000,97,"Physics and Astronomy
Materials Science
Engineering
Chemistry
Chemical Engineering
Mathematics
Medicine
Computer Science
Environmental Science
Health Professions
Energy
Pharmacology, Toxicology and Pharmaceutics
",,
