Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Mohammadpoor-Baltork, Iraj",9278795100,420,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Environmental Science
Engineering
Energy
Medicine
Health Professions
Computer Science
",,
"Tangestaninejad, Shahram",7003567307,414,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Environmental Science
Engineering
Energy
Medicine
Health Professions
Computer Science
Earth and Planetary Sciences
Multidisciplinary
",0000-0001-7426-375X,
"Mirkhani, Valiollah",6701554866,385,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Engineering
Environmental Science
Energy
Medicine
Health Professions
Computer Science
",0000-0001-7426-375X,
"Moghadam, Majid",6701671289,356,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Pharmacology, Toxicology and Pharmaceutics
Engineering
Environmental Science
Energy
Medicine
Health Professions
Computer Science
Multidisciplinary
",,
"Habibi, Mohammad Hossein",24522032300,239,"Chemistry
Physics and Astronomy
Materials Science
Chemical Engineering
Environmental Science
Biochemistry, Genetics and Molecular Biology
Engineering
Pharmacology, Toxicology and Pharmaceutics
Energy
Immunology and Microbiology
Medicine
Earth and Planetary Sciences
Multidisciplinary
Social Sciences
",,
"Amiri Rudbari, Hadi",25639930200,232,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Pharmacology, Toxicology and Pharmaceutics
Environmental Science
Health Professions
Medicine
Engineering
Energy
",0000-0002-3020-8596,
"Hooshmand, Rahmat-Allah",55893474400,157,"Engineering
Energy
Computer Science
Mathematics
Environmental Science
Physics and Astronomy
Materials Science
Social Sciences
Business, Management and Accounting
Multidisciplinary
Chemical Engineering
Chemistry
",0000-0003-2567-2551,
"Khosropour, Ahmad Reza",6603112982,154,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Environmental Science
Engineering
Medicine
Computer Science
",0000-0002-4170-0017,
"Bordbar, A. K.",6701466607,152,"Chemistry
Biochemistry, Genetics and Molecular Biology
Physics and Astronomy
Materials Science
Chemical Engineering
Medicine
Environmental Science
Engineering
Agricultural and Biological Sciences
Health Professions
Multidisciplinary
Pharmacology, Toxicology and Pharmaceutics
Energy
Immunology and Microbiology
Computer Science
",,
"Shahin, Arash",18435139400,151,"Business, Management and Accounting
Decision Sciences
Engineering
Computer Science
Multidisciplinary
Social Sciences
Economics, Econometrics and Finance
Arts and Humanities
Environmental Science
Mathematics
Medicine
Energy
Agricultural and Biological Sciences
",0000-0002-7857-9476,
