Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID,
"Amini, Mostafa M.",55774019200,408,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Environmental Science
Engineering
Medicine
Pharmacology, Toxicology and Pharmaceutics
Agricultural and Biological Sciences
Energy
Computer Science
Immunology and Microbiology
Social Sciences
Mathematics
Dentistry
",,
"Shaabani, Ahmad",7005317348,358,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Computer Science
Engineering
Physics and Astronomy
Environmental Science
Energy
Mathematics
Medicine
Agricultural and Biological Sciences
Immunology and Microbiology
Social Sciences
",,
"Khavasi, Hamid Reza",6506908557,323,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Medicine
Environmental Science
Mathematics
Engineering
Energy
Computer Science
",,
"Shokri, Babak",17346773200,290,"Physics and Astronomy
Materials Science
Engineering
Chemistry
Mathematics
Environmental Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Energy
Agricultural and Biological Sciences
Immunology and Microbiology
Multidisciplinary
Computer Science
Earth and Planetary Sciences
",,
"Navi, Keivan",16480818500,272,"Computer Science
Engineering
Materials Science
Physics and Astronomy
Mathematics
Chemistry
Multidisciplinary
Social Sciences
Medicine
Energy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Earth and Planetary Sciences
Neuroscience
Agricultural and Biological Sciences
Environmental Science
Decision Sciences
Psychology
",,
"Sheidai, Masoud",6603253919,238,"Agricultural and Biological Sciences
Biochemistry, Genetics and Molecular Biology
Medicine
Immunology and Microbiology
Engineering
Earth and Planetary Sciences
Mathematics
Physics and Astronomy
Multidisciplinary
Chemistry
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Environmental Science
",,
"Simbar, Masoumeh",6506114469,221,"Medicine
Nursing
Social Sciences
Biochemistry, Genetics and Molecular Biology
Psychology
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Physics and Astronomy
Materials Science
Multidisciplinary
Agricultural and Biological Sciences
Chemistry
",0000-0003-2843-3150,
"Notash, Behrouz",8719969200,218,"Chemistry
Materials Science
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Agricultural and Biological Sciences
Medicine
Computer Science
Earth and Planetary Sciences
Environmental Science
Mathematics
Engineering
Health Professions
Multidisciplinary
",,
"Latifi, Hamid",51461516200,211,"Physics and Astronomy
Engineering
Materials Science
Computer Science
Mathematics
Chemistry
Biochemistry, Genetics and Molecular Biology
Medicine
Chemical Engineering
Multidisciplinary
Environmental Science
Neuroscience
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Health Professions
Energy
Nursing
Veterinary
Agricultural and Biological Sciences
",,
"Borzooei, Rajabali",55910145800,210,"Mathematics
Computer Science
Engineering
Decision Sciences
Physics and Astronomy
Arts and Humanities
Multidisciplinary
Chemistry
",,
"Zandieh, Mostafa",24339847100,193,"Engineering
Computer Science
Decision Sciences
Business, Management and Accounting
Mathematics
Multidisciplinary
Materials Science
Physics and Astronomy
Chemistry
Energy
Social Sciences
Economics, Econometrics and Finance
Medicine
Environmental Science
Health Professions
",0000-0003-1209-9514,
"Bazgir, Ayoob",6602513087,192,"Chemistry
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Physics and Astronomy
Materials Science
Environmental Science
Medicine
Computer Science
Multidisciplinary
",,
"Gharibzadeh, Shahriar",12141332500,190,"Medicine
Neuroscience
Engineering
Computer Science
Mathematics
Biochemistry, Genetics and Molecular Biology
Pharmacology, Toxicology and Pharmaceutics
Psychology
Agricultural and Biological Sciences
Immunology and Microbiology
Health Professions
Physics and Astronomy
Social Sciences
Arts and Humanities
Multidisciplinary
Chemistry
Nursing
Materials Science
Chemical Engineering
",0000-0002-9604-8433,
"Safari, Nasser",57198524564,189,"Chemistry
Materials Science
Physics and Astronomy
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Energy
Computer Science
Environmental Science
Engineering
Pharmacology, Toxicology and Pharmaceutics
",,
"Toroghinejad, Mohammad Reza",6506438634,189,"Engineering
Materials Science
Physics and Astronomy
Chemistry
Computer Science
Chemical Engineering
Mathematics
Earth and Planetary Sciences
Arts and Humanities
Multidisciplinary
",,
"Nejad-Ebrahimi, Samad",9338406700,171,"Pharmacology, Toxicology and Pharmaceutics
Chemistry
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Medicine
Chemical Engineering
Immunology and Microbiology
Materials Science
Multidisciplinary
Veterinary
Physics and Astronomy
",0000-0003-2167-8032,
"Mohajerani, Ezeddin",16317044800,159,"Materials Science
Physics and Astronomy
Chemistry
Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Energy
Dentistry
Agricultural and Biological Sciences
Computer Science
Multidisciplinary
Immunology and Microbiology
Environmental Science
Pharmacology, Toxicology and Pharmaceutics
Mathematics
",0000-0002-9243-9410,
"Parand, Kourosh",23486482200,153,"Mathematics
Engineering
Computer Science
Physics and Astronomy
Chemical Engineering
Chemistry
Materials Science
Earth and Planetary Sciences
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Agricultural and Biological Sciences
Environmental Science
",0000-0001-5946-0771,
