Author Name,Auth-ID,Number of Documents,Subject Area,Orc_ID
"Goltabar, Alireza M.",37080897000,7,"Engineering
Mathematics
Multidisciplinary
Materials Science
Computer Science
",
"Sohrabi-Asl, Iman",57195727458,1,"Engineering
",
"Tabesh, Mahsa",57188590709,3,"Environmental Science
Physics and Astronomy
Neuroscience
Pharmacology, Toxicology and Pharmaceutics
",
"Moghimi, Farzad Hassanzadeh",6508204723,10,"Engineering
Energy
Mathematics
Computer Science
",
"Navaei, S.",37089413900,2,"Engineering
",
"Banaei, Hamid",24079479100,1,"Multidisciplinary
",
"Moazzen, Mohammad Ebrahim",57195109427,1,"Engineering
",
"Aleyasin, H.",56703028100,2,"Engineering
",
"Sheshpoli, Amirhossein Zabihi",57221312376,1,"Engineering
Energy
Chemical Engineering
",
"Mohammadgholipour, Ali",57200372031,2,"Engineering
Earth and Planetary Sciences
",
"Farahi, Amir Hosein Ghorban",57210665036,1,"Chemical Engineering
",
"Salarian, Armia",56496900200,2,"Mathematics
Chemical Engineering
",
"Emami, Mahdi",56341727300,6,"Computer Science
Mathematics
Arts and Humanities
Social Sciences
Medicine
Neuroscience
",
"Ghazvini, Taher",55658522700,3,"Engineering
Materials Science
",0000-0003-3615-8662
"Charkhestani, Ali",56589918500,2,"Environmental Science
Engineering
Chemical Engineering
",0000-0001-8210-6631
"Biglarnia, Mahbobeh",57192690168,1,"Biochemistry, Genetics and Molecular Biology
Immunology and Microbiology
Chemical Engineering
",
"Tofighi, Arezu",57201742503,1,"Physics and Astronomy
Chemistry
",
"Fallahati Naqibi, Mehdi",57221302587,1,"Materials Science
",
"Rouhi, Abbas",57223865712,1,"Engineering
",
"Rabiei, Milad",57210580392,5,"Computer Science
Energy
Physics and Astronomy
Engineering
Medicine
Decision Sciences
",
"Shahsavar, Hengameh",57221700424,1,"Energy
Physics and Astronomy
",
"Hosseini, S. Rasoul",57217445870,4,"Engineering
Energy
Chemical Engineering
Environmental Science
Mathematics
",
"Hadinejad, Farinaz",57222400889,1,"Engineering
",
"Mahallati, Masoumeh Mokari",56126839100,1,"Engineering
",
"Azari Marhabi, A.",57340439200,1,"Environmental Science
Agricultural and Biological Sciences
",
"Dehnavi, S.",57203316236,1,"Biochemistry, Genetics and Molecular Biology
Mathematics
Chemistry
",
"Motieyan, Hamid",56418486800,11,"Social Sciences
Earth and Planetary Sciences
Environmental Science
Engineering
Business, Management and Accounting
Energy
Agricultural and Biological Sciences
Computer Science
",0000-0002-3733-7147
"Faraji, M.",57194081177,1,"Engineering
Energy
Chemical Engineering
",
"Irandoost, Roozbeh",57211944276,1,"Engineering
Physics and Astronomy
Materials Science
",
"Shooshpasha, Issa",6603242784,53,"Engineering
Earth and Planetary Sciences
Materials Science
Environmental Science
Physics and Astronomy
Agricultural and Biological Sciences
Chemistry
Computer Science
Multidisciplinary
Chemical Engineering
",
"Hassan Ghasemi, Mohammad",56544530200,2,"Engineering
Computer Science
Mathematics
",
"Radkani, Nafiseh",57198515384,4,"Physics and Astronomy
Mathematics
Computer Science
Earth and Planetary Sciences
Materials Science
",
"Torkamanzadeh, Mohammad",57194750471,4,"Environmental Science
Chemistry
Chemical Engineering
",
"Ghasemi-Rostam, Bahare",57190878445,1,"Mathematics
Computer Science
",
"Rostami, Mohammad Javad",57214592568,1,"Computer Science
Engineering
",
"Yusefi, Mina Ghandehari",57126173900,1,"Energy
Environmental Science
",
"Rad, Hassan Amini",57193273740,8,"Environmental Science
Medicine
Engineering
Immunology and Microbiology
",
"Yousefimanesh, Amir",57209580245,1,"Engineering
",
"Paikar, M.",57214271733,3,"Physics and Astronomy
Mathematics
Materials Science
Chemistry
",
"Gholipoor, Afshin",57209652445,1,"Engineering
Energy
Business, Management and Accounting
Environmental Science
",
"Tavakoli, M. H.",57206934590,1,"Engineering
Energy
",
"Julaey, Mohamad",57195291265,1,"Biochemistry, Genetics and Molecular Biology
",
"Bardi, Mohammad Javad",57211003684,6,"Environmental Science
Engineering
Immunology and Microbiology
Chemical Engineering
Agricultural and Biological Sciences
Medicine
",
"Damirchi, Hoseyn",57210610328,1,"Engineering
Materials Science
",
"Ara, Hamid Amiri",57208694094,3,"Computer Science
Engineering
Physics and Astronomy
",
"Zolfaghari, Abbas",26634634100,15,"Materials Science
Engineering
Earth and Planetary Sciences
Chemistry
Physics and Astronomy
Agricultural and Biological Sciences
Computer Science
",
"Khaleghnejad Tabari, Mohammadreza",57205546176,3,"Engineering
Earth and Planetary Sciences
Agricultural and Biological Sciences
Social Sciences
",
"Norouzi, Saeid",6504111444,14,"Engineering
Materials Science
Physics and Astronomy
",
"Azimi, Navvid",56893446700,1,"Engineering
Physics and Astronomy
Materials Science
",
"BaniAsad, E.",57207911350,2,"Engineering
Materials Science
",
"Azami, Vahid",57209580247,3,"Energy
Engineering
Environmental Science
",
"Mirzazadeh Moallem, Mohammadjavad",57213686212,1,"Engineering
Physics and Astronomy
",
"Ghoveyshi, Ali Asghar",55340813400,1,"Multidisciplinary
",
"Razeghi, Alieh",36761531500,5,"Engineering
Computer Science
Mathematics
Physics and Astronomy
Materials Science
",
"Doustfatemeh, Iman",57190429825,1,"Earth and Planetary Sciences
",
"Pirouznia, Parsa",56027351800,1,"Physics and Astronomy
Materials Science
",
"Hassani, Ali",57211994956,10,"Engineering
Mathematics
Materials Science
",
"Sarhadi, Pouria",55014392900,31,"Engineering
Mathematics
Computer Science
Physics and Astronomy
Earth and Planetary Sciences
Economics, Econometrics and Finance
Environmental Science
Chemical Engineering
Chemistry
",0000-0002-6004-676X
"Rahmani, Shahrzad",56262325700,6,"Materials Science
Engineering
Agricultural and Biological Sciences
Physics and Astronomy
Chemistry
",0000-0001-9278-3118
"Arefi, Reza Gharari",57189853009,2,"Health Professions
Medicine
",
"Sadeghi, Meisam",57209615077,7,"Environmental Science
Biochemistry, Genetics and Molecular Biology
Medicine
Chemical Engineering
Engineering
Physics and Astronomy
Energy
Chemistry
Immunology and Microbiology
Pharmacology, Toxicology and Pharmaceutics
Materials Science
Social Sciences
",
"Gholizadeh, Atefeh",57317622500,1,"Energy
Physics and Astronomy
",
"Ahmadi, Seyed Ali",57210119213,7,"Engineering
Materials Science
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Mathematics
",
"Mahmoudian, M.",57212723122,2,"Mathematics
Physics and Astronomy
Computer Science
",
"Fattahi, Saman",57220393482,1,"Engineering
",
"Khalili, Reza",55581572300,15,"Materials Science
Environmental Science
Chemistry
Chemical Engineering
Engineering
Biochemistry, Genetics and Molecular Biology
Medicine
Physics and Astronomy
Agricultural and Biological Sciences
",
"Kalani Sarokolayi, L.",56211399100,2,"Engineering
Multidisciplinary
",
"Azizi, Nahid",57193876114,1,"Biochemistry, Genetics and Molecular Biology
",
"Fallah, Marjan",57203063987,2,"Chemical Engineering
Engineering
Physics and Astronomy
Materials Science
Chemistry
Computer Science
",
"Ramezani Kalmer, Ramin",57211012163,1,"Materials Science
Chemistry
",
"Bakhshi, Hamid",57142104900,15,"Chemistry
Physics and Astronomy
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Materials Science
Energy
Environmental Science
Engineering
",0000-0002-9951-8162
"Mataji, Parisa",57205547038,1,"Medicine
Biochemistry, Genetics and Molecular Biology
",
"Mahdavinataj, Hami",56403220700,3,"Computer Science
Mathematics
",
"Seyedpour, S. Fatemeh",57201911826,10,"Chemistry
Chemical Engineering
Materials Science
Biochemistry, Genetics and Molecular Biology
Environmental Science
Engineering
Energy
",
"Esmaili, Mohammad Reza",36982910900,2,"Engineering
Computer Science
",
"Alinejad, Hossein",57192228498,4,"Physics and Astronomy
Engineering
Materials Science
",
"Yousefzadeh, Ali",57070331900,1,"Energy
",
"Bagherzadeh, Masoud",57224768786,1,"Mathematics
",
"Taherimehr, Masoumeh",23487249500,16,"Materials Science
Chemical Engineering
Chemistry
Energy
Environmental Science
Agricultural and Biological Sciences
Engineering
Pharmacology, Toxicology and Pharmaceutics
",
"Amiri, Javad Vaseghi",54939676800,8,"Engineering
Materials Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
",
"Sahne, Foozie",57191882845,3,"Immunology and Microbiology
Materials Science
Biochemistry, Genetics and Molecular Biology
Engineering
Agricultural and Biological Sciences
",
"Seyedmajidi, Seyedkamal",57203782753,3,"Chemistry
Materials Science
Pharmacology, Toxicology and Pharmaceutics
Engineering
Medicine
",
"Goli, Yaser",56660571200,1,"Engineering
",
"Mozaffari, Ahmad",55250058300,2,"Mathematics
Energy
Chemical Engineering
Computer Science
",
"Jalil-Sadati, Seyed",57202537849,2,"Mathematics
Engineering
Computer Science
",
"Selahshoor, Fatemeh",57216620301,1,"Computer Science
Medicine
Decision Sciences
",
"Vaez, Hossein Hosseini",57238089800,1,"Engineering
Mathematics
Energy
Computer Science
",
"Pirouz, Faeqeh",57211342377,2,"Agricultural and Biological Sciences
Immunology and Microbiology
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
",
"Berkan, S.",57200984550,1,"Engineering
Energy
Chemical Engineering
",
"Baleghi, Yasser",54897966700,31,"Computer Science
Engineering
Mathematics
Energy
Agricultural and Biological Sciences
Earth and Planetary Sciences
Physics and Astronomy
Materials Science
",0000-0002-2882-4613
"Sadeghi, Vahid",26031616800,8,"Engineering
Materials Science
Environmental Science
Physics and Astronomy
Business, Management and Accounting
Economics, Econometrics and Finance
",
"Taghizadeh Mazandarani, M.",55321855400,5,"Chemical Engineering
",
"Heydari, Mostafa",57159205200,3,"Engineering
Medicine
Computer Science
Health Professions
",
"Moosavi, S. A.H.Kiaeian",57208908869,1,"Engineering
Energy
",
"Hosseinzadeh, Khashayar",57225907241,2,"Engineering
Physics and Astronomy
Chemical Engineering
Mathematics
Computer Science
",
"Kariminezhad, Hasan",55400229400,14,"Materials Science
Engineering
Energy
Biochemistry, Genetics and Molecular Biology
Medicine
Earth and Planetary Sciences
Physics and Astronomy
Chemical Engineering
Chemistry
Immunology and Microbiology
Health Professions
Multidisciplinary
",
"Asadi-Gangraj, Ebrahim",57200087155,16,"Engineering
Computer Science
Business, Management and Accounting
Mathematics
Decision Sciences
Physics and Astronomy
Materials Science
Chemistry
Environmental Science
Energy
Social Sciences
",
"Ghalejoogh, Ghasem Shakourian",57212312364,1,"Computer Science
Engineering
",
"Alipour, Mohsen M.",57220772685,28,"Mathematics
Physics and Astronomy
Multidisciplinary
Engineering
Computer Science
Materials Science
",
"Paknahad, Ali",37011442600,6,"Engineering
Multidisciplinary
Materials Science
",
"Botkan, Mohammad",54782124200,3,"Engineering
Materials Science
Physics and Astronomy
Chemistry
",
"Movahedinia, Hamed",57195425031,1,"Engineering
Computer Science
",
"Ghafoori, S.",57220221672,4,"Engineering
Physics and Astronomy
Materials Science
Energy
Chemical Engineering
Environmental Science
",
"Ebrahimzadeh, Ataollah",35614895700,92,"Computer Science
Engineering
Physics and Astronomy
Medicine
Mathematics
Neuroscience
Biochemistry, Genetics and Molecular Biology
Health Professions
Materials Science
Energy
",
"Garjan, Hossein Shokri",57224618331,1,"Computer Science
Engineering
Business, Management and Accounting
Mathematics
Decision Sciences
",
"Ebrahimi, Elaheh",57204843986,2,"Engineering
Materials Science
Computer Science
",
"Yousefi-Lafouraki, Babak",55960977800,7,"Engineering
Physics and Astronomy
Energy
Chemical Engineering
Materials Science
Chemistry
",0000-0002-7647-4136
"Khari, Safa",57060434600,4,"Engineering
Computer Science
Physics and Astronomy
Materials Science
Social Sciences
Mathematics
",
"Mahmood, Rabiee Sayed",57208115671,1,"Agricultural and Biological Sciences
Environmental Science
",
"Saadatmorad, Morteza",57226533397,3,"Engineering
Materials Science
",0000-0001-6202-6132
"Hosseinipour, Seyed Jamal",6603453918,71,"Engineering
Materials Science
Physics and Astronomy
Computer Science
Chemistry
Multidisciplinary
Earth and Planetary Sciences
Environmental Science
Decision Sciences
Business, Management and Accounting
Chemical Engineering
",
"Hosseini, Samaneh",57202070927,1,"Chemistry
Energy
Chemical Engineering
",
"Marashi, Mehdi",57217678394,2,"Computer Science
Physics and Astronomy
Chemistry
Medicine
",
"Farajtabar, M.",57194149668,3,"Engineering
Computer Science
Mathematics
",
"Motavalli, A.",56467997000,2,"Energy
Physics and Astronomy
Materials Science
Earth and Planetary Sciences
",
"Mokhtari, Kazem",56285967800,2,"Engineering
",
"Gooran-Shoorakchaly, Armin",57222177853,1,"Engineering
Materials Science
",
"Mehrvarz, Elaheh",57192085814,4,"Chemical Engineering
Environmental Science
Chemistry
",
"Ali Beigy, Morteza Hossein",55800826300,1,"Engineering
Physics and Astronomy
Earth and Planetary Sciences
",
"Nourouzi, Salman",30967604200,87,"Engineering
Materials Science
Physics and Astronomy
Chemistry
Computer Science
Earth and Planetary Sciences
Energy
Multidisciplinary
",
"Amouzadeh Omrani, Mohsen",57204037015,2,"Engineering
Materials Science
Business, Management and Accounting
Energy
Environmental Science
",0000-0002-8189-4581
"Najafgholi, Zahra",56784361400,1,"Chemical Engineering
Chemistry
",
"Asadollahi-Baboli, Mohammad",25627179900,31,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Environmental Science
Computer Science
Engineering
Agricultural and Biological Sciences
Immunology and Microbiology
Mathematics
Physics and Astronomy
Social Sciences
",0000-0003-4535-9108
"Nikpour, Mohsen",55650193900,5,"Computer Science
Engineering
Chemical Engineering
Multidisciplinary
Biochemistry, Genetics and Molecular Biology
Mathematics
Decision Sciences
",
"Ranjbar-Noiey, Abolfazl",57216948142,4,"Engineering
Energy
Computer Science
Materials Science
",
"Jamali, Ghasem",57205550640,3,"Engineering
Materials Science
Physics and Astronomy
Earth and Planetary Sciences
",
"Hezarjaribi, Masoumeh",57214723140,6,"Environmental Science
Chemical Engineering
Engineering
Physics and Astronomy
Chemistry
Materials Science
Biochemistry, Genetics and Molecular Biology
",
"Amini, Maryam",56798721600,2,"Environmental Science
Materials Science
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Engineering
Chemistry
",
"Masoumi, Motahare",56533628800,3,"Physics and Astronomy
Materials Science
Chemistry
Chemical Engineering
",0000-0002-5629-9596
"Moshfegh, Mahdi",25654371300,2,"Mathematics
Engineering
Computer Science
",
"Davodi, M. R.",55321970300,1,"Chemical Engineering
",
"Ahmadian, Majid",57210834850,3,"Engineering
Physics and Astronomy
Computer Science
Materials Science
Mathematics
Medicine
",
"Saadati, Meysam",36970220000,3,"Earth and Planetary Sciences
Environmental Science
Engineering
",
"Rostami-Sani, Sajjad",57205161795,1,"Engineering
Computer Science
",
"Bikdeloo, V.",57195464621,1,"Immunology and Microbiology
Social Sciences
Agricultural and Biological Sciences
Engineering
Chemistry
",
"Riahi, Saeed",56430656900,2,"Materials Science
Physics and Astronomy
Engineering
Chemistry
",
"Olfian, Hassan",57204945681,4,"Physics and Astronomy
Energy
Chemical Engineering
Materials Science
Engineering
",
"Talebnia Rowshan, Farid",57192675058,1,"Engineering
Physics and Astronomy
Materials Science
",
"Samkhaniyani, Faezeh",56648042100,2,"Environmental Science
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
Engineering
Agricultural and Biological Sciences
",
"Fallahnejad, Hossein",57126447900,5,"Engineering
Materials Science
Mathematics
Physics and Astronomy
",
"Akhgari, Farzaneh",37035943200,3,"Engineering
",
"Gholinejad, Hamid Reza",57192106934,7,"Engineering
Computer Science
Energy
Physics and Astronomy
Materials Science
Chemical Engineering
Mathematics
",0000-0002-1073-3537
"Afshar, S. R.",57210825935,2,"Engineering
Chemical Engineering
Mathematics
Chemistry
Computer Science
",
"Nemati, Marzieh",57196928629,3,"Engineering
Materials Science
",0000-0002-6644-2552
"Sa'adati, Reza",57221306596,1,"Social Sciences
Engineering
Energy
",
"Farsad, Saba",57200219970,4,"Mathematics
Business, Management and Accounting
Decision Sciences
Engineering
Computer Science
",
"Salehi Ziri, Moslem",57191192244,2,"Environmental Science
Earth and Planetary Sciences
Agricultural and Biological Sciences
Chemical Engineering
",
"Solgy, Mostafa",56338317100,1,"Energy
",
"Taybi, Mehdi",55887732200,3,"Engineering
Physics and Astronomy
",
"Ahmadpour, Javad",25627367000,14,"Chemical Engineering
Chemistry
Energy
Physics and Astronomy
Engineering
Materials Science
Environmental Science
",
"Rabieer, Sayed Mahmood",56766304000,1,"Physics and Astronomy
",
"Zabihollahpoor, Atieh",57205546113,3,"Chemistry
Pharmacology, Toxicology and Pharmaceutics
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
",
"Farahmand, Abouzar",56539736900,1,"Engineering
Business, Management and Accounting
Computer Science
",
"Mashmouli, Mahsa",57194030025,2,"Engineering
",
"Mirzaaghaian, Arman",57190129485,2,"Engineering
Medicine
Biochemistry, Genetics and Molecular Biology
",
"Aslani, Fatemeh",57218353899,3,"Engineering
Materials Science
Physics and Astronomy
",
"Ghorbani, Mostafa",57192719001,8,"Materials Science
Chemistry
Chemical Engineering
Engineering
",
"Nikbakhsh, Navid",57208438703,4,"Computer Science
Agricultural and Biological Sciences
Energy
Engineering
Physics and Astronomy
",
"Sadatnejad, Najmeh",56748100200,1,"Engineering
Computer Science
",
"Tabasi, M.",57215505917,1,"Multidisciplinary
",
"Lesan, Maryam",57216389048,8,"Social Sciences
Environmental Science
Engineering
Energy
",
"Darvish, Amirashkan",57198500720,9,"Physics and Astronomy
Computer Science
Engineering
Mathematics
",0000-0001-9431-1376
"Jalali Azizpour, M.",57195213865,11,"Engineering
Mathematics
",
"Tafazzoli, Shima",57216963353,2,"Engineering
Environmental Science
",
"Marzbali, Mostafa Hedayati",57223915722,1,"Environmental Science
Engineering
Chemical Engineering
",
"Naeimi, Hossein Miare",35790103800,2,"Engineering
Materials Science
Computer Science
",
"Khanjani, Majid",57219597366,1,"Engineering
Physics and Astronomy
",
"Eshagh-Nimvari, Samira",57222275452,1,"Engineering
Physics and Astronomy
Materials Science
",
"Mirimani, Seyyed Mehdi",54787965400,36,"Engineering
Energy
Mathematics
Computer Science
Physics and Astronomy
Materials Science
Social Sciences
",0000-0002-0331-0827
"Ebrahimzade, Nima",57190166888,3,"Engineering
Mathematics
",
"Ezoji, Hoda",57191169463,7,"Materials Science
Physics and Astronomy
Chemistry
Environmental Science
Engineering
Immunology and Microbiology
Medicine
Biochemistry, Genetics and Molecular Biology
Chemical Engineering
",
"Yekkalam Tash, Faezeh",57211566820,1,"Mathematics
",
"Ebrahimi, Soraya",55446782100,2,"Agricultural and Biological Sciences
Immunology and Microbiology
Biochemistry, Genetics and Molecular Biology
Multidisciplinary
",
"Nematpour Keshteli, A.",57204581561,7,"Physics and Astronomy
Chemistry
Materials Science
Energy
Engineering
Mathematics
",
"Khorshidian Mianaei, Peyman",56946915400,1,"Computer Science
",
"Khanmohammadi, Fahimeh",57203862455,2,"Physics and Astronomy
Chemical Engineering
",
"Karami Mollaei, Mohammad Reza",56370789300,63,"Computer Science
Engineering
Mathematics
Decision Sciences
Medicine
Energy
Multidisciplinary
Chemical Engineering
Biochemistry, Genetics and Molecular Biology
Neuroscience
Health Professions
Social Sciences
Earth and Planetary Sciences
Physics and Astronomy
Arts and Humanities
Psychology
Materials Science
Agricultural and Biological Sciences
",
"Molaei, Somayye",57188677539,1,"Engineering
Physics and Astronomy
Materials Science
Computer Science
",
"Fallahpasand, Sam",56544662500,2,"Engineering
Physics and Astronomy
",
"Kiadehi, Afshin Dehghani",57205216452,6,"Energy
Physics and Astronomy
Chemistry
Chemical Engineering
",
"Ranjbar, N. A.",56708655500,4,"Computer Science
Engineering
Physics and Astronomy
",
"Kalantari, Sh",56472546000,3,"Mathematics
",
"Saeednia, M. M.",57210008649,1,"Multidisciplinary
",
